Sensitivity_tier1,Specificity_tier1,File,Sample,PR,Batch,DataQual,Platform
0.976829208043081,0.990346614836411,P_ILM_L1_B1_F7_3,F7,PolyA,P_ILM_L1_B1,HighQual,P_ILM
0.949706042191591,0.99086491739553,P_ILM_L2_B1_F7_1,F7,PolyA,P_ILM_L2_B1,LowQual,P_ILM
0.965367323748827,0.793845157110463,P_ILM_L2_B1_F7_2,F7,PolyA,P_ILM_L2_B1,LowQual,P_ILM
0.948026283286399,0.992355037252996,P_ILM_L2_B1_F7_3,F7,PolyA,P_ILM_L2_B1,LowQual,P_ILM
0.924559063287387,0.976320051830256,P_ILM_L5_B1_F7_1,F7,PolyA,P_ILM_L5_B1,LowQual,P_ILM
0.866261548342473,0.97884677680596,P_ILM_L5_B1_F7_2,F7,PolyA,P_ILM_L5_B1,LowQual,P_ILM
0.943382243960279,0.979462261094914,P_ILM_L5_B1_F7_3,F7,PolyA,P_ILM_L5_B1,LowQual,P_ILM
0.966750654611926,0.990087463556851,P_ILM_L6_B1_F7_1,F7,PolyA,P_ILM_L6_B1,HighQual,P_ILM
0.974704807074749,0.991221250404924,P_ILM_L6_B1_F7_2,F7,PolyA,P_ILM_L6_B1,HighQual,P_ILM
0.970258386443357,0.989698736637512,P_ILM_L6_B1_F7_3,F7,PolyA,P_ILM_L6_B1,HighQual,P_ILM
0.966454226569833,0.98856494978944,P_ILM_L8_B1_F7_1,F7,PolyA,P_ILM_L8_B1,HighQual,P_ILM
0.96289709006472,0.987722708130871,P_ILM_L8_B1_F7_2,F7,PolyA,P_ILM_L8_B1,HighQual,P_ILM
0.964725062990959,0.987560738581147,P_ILM_L8_B1_F7_3,F7,PolyA,P_ILM_L8_B1,HighQual,P_ILM
0.987500617558421,0.963492063492064,R_ILM_L1_B1_F7_1,F7,RiboZ,R_ILM_L1_B1,HighQual,R_ILM
0.988340497011017,0.964885001619695,R_ILM_L1_B1_F7_2,F7,RiboZ,R_ILM_L1_B1,HighQual,R_ILM
0.988389901684699,0.963686426951733,R_ILM_L1_B1_F7_3,F7,RiboZ,R_ILM_L1_B1,HighQual,R_ILM
0.976038733264167,0.952510528020732,R_ILM_L2_B1_F7_1,F7,RiboZ,R_ILM_L2_B1,LowQual,R_ILM
0.985079788547997,0.974117265954001,R_ILM_L2_B2_F7_1,F7,RiboZ,R_ILM_L2_B2,HighQual,R_ILM
0.975939923916803,0.959216067379333,R_ILM_L2_B1_F7_2,F7,RiboZ,R_ILM_L2_B1,LowQual,R_ILM
0.986265500716368,0.975477810171688,R_ILM_L2_B2_F7_2,F7,RiboZ,R_ILM_L2_B2,HighQual,R_ILM
0.96754112939084,0.951506316812439,R_ILM_L2_B1_F7_3,F7,RiboZ,R_ILM_L2_B1,LowQual,R_ILM
0.986611333432143,0.974408811143505,R_ILM_L2_B2_F7_3,F7,RiboZ,R_ILM_L2_B2,HighQual,R_ILM
0.953806630107208,0.694039520570133,R_ILM_L4_B1_F7_1,F7,RiboZ,R_ILM_L4_B1,LowQual,R_ILM
0.966553035917198,0.8466472303207,R_ILM_L4_B1_F7_2,F7,RiboZ,R_ILM_L4_B1,LowQual,R_ILM
0.970011363074947,0.85591188856495,R_ILM_L4_B1_F7_3,F7,RiboZ,R_ILM_L4_B1,LowQual,R_ILM
0.980781581937651,0.950955620343375,R_ILM_L4_B2_F7_1,F7,RiboZ,R_ILM_L4_B2,HighQual,R_ILM
0.986660738105825,0.972886297376093,R_ILM_L4_B2_F7_2,F7,RiboZ,R_ILM_L4_B2,HighQual,R_ILM
0.982510745516526,0.961192095885973,R_ILM_L4_B2_F7_3,F7,RiboZ,R_ILM_L4_B2,HighQual,R_ILM
0.974507188380021,0.972951085195983,R_ILM_L4_B3_F7_1,F7,RiboZ,R_ILM_L4_B3,HighQual,R_ILM
0.973766118274789,0.97687074829932,R_ILM_L4_B3_F7_2,F7,RiboZ,R_ILM_L4_B3,HighQual,R_ILM
0.973716713601107,0.97680596047943,R_ILM_L4_B3_F7_3,F7,RiboZ,R_ILM_L4_B3,HighQual,R_ILM
0.973123857516921,0.954421768707483,R_ILM_L5_B1_F7_1,F7,RiboZ,R_ILM_L5_B1,LowQual,R_ILM
0.958747097475421,0.962585034013605,R_ILM_L5_B2_F7_1,F7,RiboZ,R_ILM_L5_B2,HighQual,R_ILM
0.936169161602688,0.961645610625202,R_ILM_L5_B3_F7_1,F7,RiboZ,R_ILM_L5_B3,LowQual,R_ILM
0.973716713601107,0.950664075153871,R_ILM_L5_B1_F7_2,F7,RiboZ,R_ILM_L5_B1,LowQual,R_ILM
0.964675658317277,0.961904761904762,R_ILM_L5_B2_F7_2,F7,RiboZ,R_ILM_L5_B2,HighQual,R_ILM
0.944518551454968,0.958406219630709,R_ILM_L5_B3_F7_2,F7,RiboZ,R_ILM_L5_B3,LowQual,R_ILM
0.973074452843239,0.952445740200842,R_ILM_L5_B1_F7_3,F7,RiboZ,R_ILM_L5_B1,LowQual,R_ILM
0.965663751790919,0.959345643019112,R_ILM_L5_B2_F7_3,F7,RiboZ,R_ILM_L5_B2,HighQual,R_ILM
0.94224593646559,0.957596371882086,R_ILM_L5_B3_F7_3,F7,RiboZ,R_ILM_L5_B3,LowQual,R_ILM
0.98863692505311,0.961904761904762,R_ILM_L6_B1_F7_1,F7,RiboZ,R_ILM_L6_B1,HighQual,R_ILM
0.971691121980139,0.957531584062196,R_ILM_L6_B1_F7_2,F7,RiboZ,R_ILM_L6_B1,HighQual,R_ILM
0.985425621263772,0.963362487852284,R_ILM_L6_B1_F7_3,F7,RiboZ,R_ILM_L6_B1,HighQual,R_ILM
0.990069660589892,0.939714933592485,R_ILM_L8_B1_F7_1,F7,RiboZ,R_ILM_L8_B1,HighQual,R_ILM
0.987648831579467,0.936572724327826,R_ILM_L8_B1_F7_2,F7,RiboZ,R_ILM_L8_B1,HighQual,R_ILM
0.988340497011017,0.933948817622287,R_ILM_L8_B1_F7_3,F7,RiboZ,R_ILM_L8_B1,HighQual,R_ILM
0.96681011030321,0.990015661707126,P_BGI_L3_B1_M8_1,M8,PolyA,P_BGI_L3_B1,HighQual,P_BGI
0.965870307167236,0.991092404072044,P_BGI_L3_B1_M8_2,M8,PolyA,P_BGI_L3_B1,HighQual,P_BGI
0.953603403076619,0.993474288697468,P_BGI_L3_B1_M8_3,M8,PolyA,P_BGI_L3_B1,HighQual,P_BGI
0.986595439481624,0.993180631688854,P_BGI_L6_B1_M8_1,M8,PolyA,P_BGI_L6_B1,HighQual,P_BGI
0.990404115348469,0.994322631166797,P_BGI_L6_B1_M8_2,M8,PolyA,P_BGI_L6_B1,HighQual,P_BGI
0.982638373645942,0.993050117462803,P_BGI_L6_B1_M8_3,M8,PolyA,P_BGI_L6_B1,HighQual,P_BGI
0.993767621308799,0.966098929783346,R_BGI_L3_B1_M8_1,M8,RiboZ,R_BGI_L3_B1,HighQual,R_BGI
0.991937478359796,0.966066301226834,R_BGI_L3_B1_M8_2,M8,RiboZ,R_BGI_L3_B1,HighQual,R_BGI
0.995498837611911,0.966555729574524,R_BGI_L3_B1_M8_3,M8,RiboZ,R_BGI_L3_B1,HighQual,R_BGI
0.990997675223822,0.965022187418429,R_BGI_L6_B1_M8_1,M8,RiboZ,R_BGI_L6_B1,HighQual,R_BGI
0.992085868328634,0.966425215348473,R_BGI_L6_B1_M8_2,M8,RiboZ,R_BGI_L6_B1,HighQual,R_BGI
0.99114606519266,0.967143043591752,R_BGI_L6_B1_M8_3,M8,RiboZ,R_BGI_L6_B1,HighQual,R_BGI
0.983231933521294,0.953243278517358,R_BGI_L7_B1_M8_1,M8,RiboZ,R_BGI_L7_B1,HighQual,R_BGI
0.986496512835732,0.958039676324719,R_BGI_L7_B1_M8_2,M8,RiboZ,R_BGI_L7_B1,HighQual,R_BGI
0.98328139684424,0.954809449229966,R_BGI_L7_B1_M8_3,M8,RiboZ,R_BGI_L7_B1,HighQual,R_BGI
0.985062076470297,0.989852518924563,P_ILM_L1_B1_M8_1,M8,PolyA,P_ILM_L1_B1,HighQual,P_ILM
0.980709304051046,0.991125032628557,P_ILM_L1_B1_M8_2,M8,PolyA,P_ILM_L1_B1,HighQual,P_ILM
0.978087747934906,0.990080918820151,P_ILM_L1_B1_M8_3,M8,PolyA,P_ILM_L1_B1,HighQual,P_ILM
0.950783993668695,0.991190289741582,P_ILM_L2_B1_M8_1,M8,PolyA,P_ILM_L2_B1,LowQual,P_ILM
0.944897858238116,0.990570347167841,P_ILM_L2_B1_M8_2,M8,PolyA,P_ILM_L2_B1,LowQual,P_ILM
0.945392491467577,0.991353432524145,P_ILM_L2_B1_M8_3,M8,PolyA,P_ILM_L2_B1,LowQual,P_ILM
0.94222683879903,0.979411380840512,P_ILM_L5_B1_M8_1,M8,PolyA,P_ILM_L5_B1,LowQual,P_ILM
0.932779344116338,0.97755155311929,P_ILM_L5_B1_M8_2,M8,PolyA,P_ILM_L5_B1,LowQual,P_ILM
0.94099025572538,0.978334638475594,P_ILM_L5_B1_M8_3,M8,PolyA,P_ILM_L5_B1,LowQual,P_ILM
0.965375673937775,0.991059775515531,P_ILM_L6_B1_M8_1,M8,PolyA,P_ILM_L6_B1,HighQual,P_ILM
0.967453133501509,0.989950404594101,P_ILM_L6_B1_M8_2,M8,PolyA,P_ILM_L6_B1,HighQual,P_ILM
0.968145620022753,0.989885147481075,P_ILM_L6_B1_M8_3,M8,PolyA,P_ILM_L6_B1,HighQual,P_ILM
0.967156353563832,0.989624119028974,P_ILM_L8_B1_M8_1,M8,PolyA,P_ILM_L8_B1,HighQual,P_ILM
0.964040164218232,0.988416862438006,P_ILM_L8_B1_M8_2,M8,PolyA,P_ILM_L8_B1,HighQual,P_ILM
0.964584260770639,0.98919994779431,P_ILM_L8_B1_M8_3,M8,PolyA,P_ILM_L8_B1,HighQual,P_ILM
0.986941682742247,0.962150874445315,R_ILM_L1_B1_M8_1,M8,RiboZ,R_ILM_L1_B1,HighQual,R_ILM
0.988425582430628,0.96319498825372,R_ILM_L1_B1_M8_2,M8,RiboZ,R_ILM_L1_B1,HighQual,R_ILM
0.987485779294653,0.964891673192378,R_ILM_L1_B1_M8_3,M8,RiboZ,R_ILM_L1_B1,HighQual,R_ILM
0.972745709056734,0.958822761681023,R_ILM_L2_B1_M8_1,M8,RiboZ,R_ILM_L2_B1,LowQual,R_ILM
0.988029875847059,0.976964239102062,R_ILM_L2_B2_M8_1,M8,RiboZ,R_ILM_L2_B2,HighQual,R_ILM
0.973091952317357,0.959997389715479,R_ILM_L2_B1_M8_2,M8,RiboZ,R_ILM_L2_B1,LowQual,R_ILM
0.986842756096355,0.976474810754372,R_ILM_L2_B2_M8_2,M8,RiboZ,R_ILM_L2_B2,HighQual,R_ILM
0.979126477716773,0.959312190028713,R_ILM_L2_B1_M8_3,M8,RiboZ,R_ILM_L2_B1,LowQual,R_ILM
0.988969678983034,0.969753328112764,R_ILM_L2_B2_M8_3,M8,RiboZ,R_ILM_L2_B2,HighQual,R_ILM
0.974625315328684,0.823348995040459,R_ILM_L4_B1_M8_1,M8,RiboZ,R_ILM_L4_B1,LowQual,R_ILM
0.968442399960429,0.856042808666145,R_ILM_L4_B1_M8_2,M8,RiboZ,R_ILM_L4_B1,LowQual,R_ILM
0.970371469555325,0.851703210649961,R_ILM_L4_B1_M8_3,M8,RiboZ,R_ILM_L4_B1,LowQual,R_ILM
0.984666369886729,0.953928478204124,R_ILM_L4_B2_M8_1,M8,RiboZ,R_ILM_L4_B2,HighQual,R_ILM
0.987139536034031,0.966914643696163,R_ILM_L4_B2_M8_2,M8,RiboZ,R_ILM_L4_B2,HighQual,R_ILM
0.9837760300737,0.960976246410859,R_ILM_L4_B2_M8_3,M8,RiboZ,R_ILM_L4_B2,HighQual,R_ILM
0.978186674580798,0.979737666405638,R_ILM_L4_B3_M8_1,M8,RiboZ,R_ILM_L4_B3,HighQual,R_ILM
0.975960825048227,0.979541895066562,R_ILM_L4_B3_M8_2,M8,RiboZ,R_ILM_L4_B3,HighQual,R_ILM
0.973883365484493,0.978791438266771,R_ILM_L4_B3_M8_3,M8,RiboZ,R_ILM_L4_B3,HighQual,R_ILM
0.979720037592125,0.973570869224745,R_ILM_L5_B1_M8_1,M8,RiboZ,R_ILM_L5_B1,LowQual,R_ILM
0.965771380521343,0.959083790133125,R_ILM_L5_B2_M8_1,M8,RiboZ,R_ILM_L5_B2,HighQual,R_ILM
0.934015927189989,0.960225789611068,R_ILM_L5_B3_M8_1,M8,RiboZ,R_ILM_L5_B3,LowQual,R_ILM
0.971063956076569,0.955984077264422,R_ILM_L5_B1_M8_2,M8,RiboZ,R_ILM_L5_B1,LowQual,R_ILM
0.960775584903794,0.959051161576612,R_ILM_L5_B2_M8_2,M8,RiboZ,R_ILM_L5_B2,HighQual,R_ILM
0.950289360439234,0.957158705298878,R_ILM_L5_B3_M8_2,M8,RiboZ,R_ILM_L5_B3,LowQual,R_ILM
0.97180590592076,0.953406421299922,R_ILM_L5_B1_M8_3,M8,RiboZ,R_ILM_L5_B1,LowQual,R_ILM
0.965425137260721,0.960225789611068,R_ILM_L5_B2_M8_3,M8,RiboZ,R_ILM_L5_B2,HighQual,R_ILM
0.949003314042637,0.961465674758549,R_ILM_L5_B3_M8_3,M8,RiboZ,R_ILM_L5_B3,LowQual,R_ILM
0.987337389325815,0.964075959279561,R_ILM_L6_B1_M8_1,M8,RiboZ,R_ILM_L6_B1,HighQual,R_ILM
0.984419053271999,0.962575045679979,R_ILM_L6_B1_M8_2,M8,RiboZ,R_ILM_L6_B1,HighQual,R_ILM
0.980560914082208,0.961302531975985,R_ILM_L6_B1_M8_3,M8,RiboZ,R_ILM_L6_B1,HighQual,R_ILM
0.989068605628926,0.940974941268598,R_ILM_L8_B1_M8_1,M8,RiboZ,R_ILM_L8_B1,HighQual,R_ILM
0.988079339170005,0.948055338031845,R_ILM_L8_B1_M8_2,M8,RiboZ,R_ILM_L8_B1,HighQual,R_ILM
0.987436315971707,0.945836596188985,R_ILM_L8_B1_M8_3,M8,RiboZ,R_ILM_L8_B1,HighQual,R_ILM
