Sensitivity,Specificity,Batch,Compare_group,DataQual
0.883275261324042,0.959257473481196,P_ILM_L6_B1,F7/D6,HighQual
0.914634146341463,0.966007714561234,P_ILM_L8_B1,F7/D6,HighQual
0.869337979094077,0.982160077145612,R_ILM_L1_B1,F7/D6,HighQual
0.726480836236934,0.950337512054002,R_ILM_L2_B1,F7/D6,LowQual
0.89198606271777,0.980954676952748,R_ILM_L2_B2,F7/D6,HighQual
0.757839721254355,0.955159112825458,R_ILM_L4_B1,F7/D6,LowQual
0.898954703832753,0.975650916104147,R_ILM_L4_B2,F7/D6,HighQual
0.858885017421603,0.972757955641273,R_ILM_L4_B3,F7/D6,HighQual
0.787456445993031,0.964079074252652,R_ILM_L5_B1,F7/D6,LowQual
0.754355400696864,0.952025072324012,R_ILM_L5_B2,F7/D6,HighQual
0.628919860627178,0.918273866923819,R_ILM_L5_B3,F7/D6,LowQual
0.85191637630662,0.966730954676953,R_ILM_L6_B1,F7/D6,HighQual
0.86411149825784,0.982642237222758,R_ILM_L8_B1,F7/D6,HighQual
0.876606683804627,0.956402116402116,P_BGI_L3_B1,M8/D6,HighQual
0.939588688946015,0.972063492063492,P_BGI_L6_B1,M8/D6,HighQual
0.895886889460154,0.981587301587302,R_BGI_L3_B1,M8/D6,HighQual
0.903598971722365,0.984126984126984,R_BGI_L6_B1,M8/D6,HighQual
0.79305912596401,0.963174603174603,R_BGI_L7_B1,M8/D6,HighQual
0.911311053984576,0.969312169312169,P_ILM_L1_B1,M8/D6,HighQual
0.862467866323907,0.955767195767196,P_ILM_L2_B1,M8/D6,LowQual
0.718508997429306,0.923597883597884,P_ILM_L5_B1,M8/D6,LowQual
0.87146529562982,0.953015873015873,P_ILM_L6_B1,M8/D6,HighQual
0.90745501285347,0.968465608465608,P_ILM_L8_B1,M8/D6,HighQual
0.866323907455013,0.984126984126984,R_ILM_L1_B1,M8/D6,HighQual
0.740359897172236,0.942645502645503,R_ILM_L2_B1,M8/D6,LowQual
0.910025706940874,0.98010582010582,R_ILM_L2_B2,M8/D6,HighQual
0.749357326478149,0.95978835978836,R_ILM_L4_B1,M8/D6,LowQual
0.898457583547558,0.980529100529101,R_ILM_L4_B2,M8/D6,HighQual
0.854755784061697,0.972063492063492,R_ILM_L4_B3,M8/D6,HighQual
0.764781491002571,0.953862433862434,R_ILM_L5_B1,M8/D6,LowQual
0.782776349614396,0.955767195767196,R_ILM_L5_B2,M8/D6,HighQual
0.620822622107969,0.914497354497354,R_ILM_L5_B3,M8/D6,LowQual
0.832904884318766,0.964867724867725,R_ILM_L6_B1,M8/D6,HighQual
0.890745501285347,0.986031746031746,R_ILM_L8_B1,M8/D6,HighQual
0.878390201224847,0.956351536504208,P_BGI_L3_B1,M8/F7,HighQual
0.925634295713036,0.971227246036406,P_BGI_L6_B1,M8/F7,HighQual
0.912510936132983,0.976316304560579,R_BGI_L3_B1,M8/F7,HighQual
0.920384951881015,0.981601096104913,R_BGI_L6_B1,M8/F7,HighQual
0.832020997375328,0.969074182814641,R_BGI_L7_B1,M8/F7,HighQual
0.913385826771654,0.966333920532394,P_ILM_L1_B1,M8/F7,HighQual
0.839020122484689,0.952632609121159,P_ILM_L2_B1,M8/F7,LowQual
0.692038495188101,0.919945194754355,P_ILM_L5_B1,M8/F7,LowQual
0.878390201224847,0.960070463887258,P_ILM_L6_B1,M8/F7,HighQual
0.889763779527559,0.964180857310628,P_ILM_L8_B1,M8/F7,HighQual
0.89326334208224,0.978860833822666,R_ILM_L1_B1,M8/F7,HighQual
0.831146106736658,0.963985124290468,R_ILM_L2_B1,M8/F7,LowQual
0.909886264216973,0.977686435701703,R_ILM_L2_B2,M8/F7,HighQual
0.764654418197725,0.958896065766295,R_ILM_L4_B1,M8/F7,LowQual
0.897637795275591,0.979839498923468,R_ILM_L4_B2,M8/F7,HighQual
0.861767279090114,0.973576042278332,R_ILM_L4_B3,M8/F7,HighQual
0.777777777777778,0.95693873556469,R_ILM_L5_B1,M8/F7,LowQual
0.78740157480315,0.952632609121159,R_ILM_L5_B2,M8/F7,HighQual
0.676290463692038,0.920532393814837,R_ILM_L5_B3,M8/F7,LowQual
0.852143482064742,0.966529653552554,R_ILM_L6_B1,M8/F7,HighQual
0.890638670166229,0.981405363084752,R_ILM_L8_B1,M8/F7,HighQual
