batch_pairs,consistent,batch.x,pairs.x,corr,batch.y,pairs.y,DataQual,seq_pro
P_ILM_L6_B1 M8/D5,0.87034980566352,P_ILM_L6_B1,M8/D5,0.965613854090172,P_ILM_L6_B1,M8/D5,HighQual,P_ILM
P_ILM_L6_B1 M8/D6,0.953387533875339,P_ILM_L6_B1,M8/D6,0.978333289794666,P_ILM_L6_B1,M8/D6,HighQual,P_ILM
P_ILM_L6_B1 M8/F7,0.953356445004727,P_ILM_L6_B1,M8/F7,0.979685202728958,P_ILM_L6_B1,M8/F7,HighQual,P_ILM
P_ILM_L8_B1 D6/D5,0.986679662118259,P_ILM_L8_B1,D6/D5,0.984692594003531,P_ILM_L8_B1,D6/D5,HighQual,P_ILM
P_ILM_L8_B1 F7/D5,0.988296488946684,P_ILM_L8_B1,F7/D5,0.977896009421537,P_ILM_L8_B1,F7/D5,HighQual,P_ILM
P_ILM_L8_B1 F7/D6,0.976200417536534,P_ILM_L8_B1,F7/D6,0.981761137377599,P_ILM_L8_B1,F7/D6,HighQual,P_ILM
P_ILM_L8_B1 M8/D5,0.981144965159175,P_ILM_L8_B1,M8/D5,0.981676105468208,P_ILM_L8_B1,M8/D5,HighQual,P_ILM
P_ILM_L8_B1 M8/D6,0.980032379924447,P_ILM_L8_B1,M8/D6,0.981434960411529,P_ILM_L8_B1,M8/D6,HighQual,P_ILM
P_ILM_L8_B1 M8/F7,0.976670870113493,P_ILM_L8_B1,M8/F7,0.981932650789301,P_ILM_L8_B1,M8/F7,HighQual,P_ILM
R_BGI_L3_B1 D6/D5,0.990491539081386,R_BGI_L3_B1,D6/D5,0.988596785537828,R_BGI_L3_B1,D6/D5,HighQual,R_BGI
R_BGI_L3_B1 F7/D5,0.985865219874357,R_BGI_L3_B1,F7/D5,0.984804204051784,R_BGI_L3_B1,F7/D5,HighQual,R_BGI
R_BGI_L3_B1 F7/D6,0.972365436172407,R_BGI_L3_B1,F7/D6,0.982344172927826,R_BGI_L3_B1,F7/D6,HighQual,R_BGI
R_BGI_L3_B1 M8/D5,0.990152434911642,R_BGI_L3_B1,M8/D5,0.986882498413237,R_BGI_L3_B1,M8/D5,HighQual,R_BGI
R_BGI_L3_B1 M8/D6,0.986323268206039,R_BGI_L3_B1,M8/D6,0.985965603808925,R_BGI_L3_B1,M8/D6,HighQual,R_BGI
R_BGI_L3_B1 M8/F7,0.976700838769804,R_BGI_L3_B1,M8/F7,0.986316747129263,R_BGI_L3_B1,M8/F7,HighQual,R_BGI
R_BGI_L6_B1 D6/D5,0.970934926529953,R_BGI_L6_B1,D6/D5,0.984017011479307,R_BGI_L6_B1,D6/D5,HighQual,R_BGI
R_BGI_L6_B1 F7/D5,0.96521116678597,R_BGI_L6_B1,F7/D5,0.980778620225169,R_BGI_L6_B1,F7/D5,HighQual,R_BGI
R_BGI_L6_B1 F7/D6,0.979158068510111,R_BGI_L6_B1,F7/D6,0.976864120288805,R_BGI_L6_B1,F7/D6,HighQual,R_BGI
R_BGI_L6_B1 M8/D5,0.980909829406986,R_BGI_L6_B1,M8/D5,0.984008916478523,R_BGI_L6_B1,M8/D5,HighQual,R_BGI
R_BGI_L6_B1 M8/D6,0.985977990770323,R_BGI_L6_B1,M8/D6,0.983443350530483,R_BGI_L6_B1,M8/D6,HighQual,R_BGI
R_BGI_L6_B1 M8/F7,0.973553204729309,R_BGI_L6_B1,M8/F7,0.984488753520525,R_BGI_L6_B1,M8/F7,HighQual,R_BGI
R_BGI_L7_B1 D6/D5,0.878817413905133,R_BGI_L7_B1,D6/D5,0.962789909915508,R_BGI_L7_B1,D6/D5,HighQual,R_BGI
R_BGI_L7_B1 F7/D5,0.919988487552166,R_BGI_L7_B1,F7/D5,0.966341567636722,R_BGI_L7_B1,F7/D5,HighQual,R_BGI
R_BGI_L7_B1 F7/D6,0.852260887684934,R_BGI_L7_B1,F7/D6,0.960088021617473,R_BGI_L7_B1,F7/D6,HighQual,R_BGI
R_BGI_L7_B1 M8/D5,0.847681218550252,R_BGI_L7_B1,M8/D5,0.963909067644721,R_BGI_L7_B1,M8/D5,HighQual,R_BGI
R_BGI_L7_B1 M8/D6,0.776740847092606,R_BGI_L7_B1,M8/D6,0.955422876979844,R_BGI_L7_B1,M8/D6,HighQual,R_BGI
R_BGI_L7_B1 M8/F7,0.902225007834535,R_BGI_L7_B1,M8/F7,0.97249922286687,R_BGI_L7_B1,M8/F7,HighQual,R_BGI
R_ILM_L1_B1 D6/D5,0.976751695188892,R_ILM_L1_B1,D6/D5,0.984331382303124,R_ILM_L1_B1,D6/D5,HighQual,R_ILM
R_ILM_L1_B1 F7/D5,0.982543997710688,R_ILM_L1_B1,F7/D5,0.981910634917445,R_ILM_L1_B1,F7/D5,HighQual,R_ILM
R_ILM_L1_B1 F7/D6,0.977296181630547,R_ILM_L1_B1,F7/D6,0.97825013154704,R_ILM_L1_B1,F7/D6,HighQual,R_ILM
R_ILM_L1_B1 M8/D5,0.987574284170719,R_ILM_L1_B1,M8/D5,0.983419130808388,R_ILM_L1_B1,M8/D5,HighQual,R_ILM
R_ILM_L1_B1 M8/D6,0.976359758265197,R_ILM_L1_B1,M8/D6,0.982481637371862,R_ILM_L1_B1,M8/D6,HighQual,R_ILM
R_ILM_L1_B1 M8/F7,0.973405909797823,R_ILM_L1_B1,M8/F7,0.980671044595729,R_ILM_L1_B1,M8/F7,HighQual,R_ILM
R_ILM_L2_B1 D6/D5,0.821464060947334,R_ILM_L2_B1,D6/D5,0.95251507956785,R_ILM_L2_B1,D6/D5,LowQual,R_ILM
R_ILM_L2_B1 F7/D5,0.796112247880737,R_ILM_L2_B1,F7/D5,0.950824261600003,R_ILM_L2_B1,F7/D5,LowQual,R_ILM
R_ILM_L2_B1 F7/D6,0.717748735244519,R_ILM_L2_B1,F7/D6,0.937704592366183,R_ILM_L2_B1,F7/D6,LowQual,R_ILM
R_ILM_L2_B1 M8/D5,0.763764316268801,R_ILM_L2_B1,M8/D5,0.952325429082353,R_ILM_L2_B1,M8/D5,LowQual,R_ILM
R_ILM_L2_B1 M8/D6,0.735642661804923,R_ILM_L2_B1,M8/D6,0.942635441672262,R_ILM_L2_B1,M8/D6,LowQual,R_ILM
R_ILM_L2_B1 M8/F7,0.862460567823344,R_ILM_L2_B1,M8/F7,0.968922524316818,R_ILM_L2_B1,M8/F7,LowQual,R_ILM
R_ILM_L2_B2 D6/D5,0.988180051813471,R_ILM_L2_B2,D6/D5,0.987209871470549,R_ILM_L2_B2,D6/D5,HighQual,R_ILM
R_ILM_L2_B2 F7/D5,0.988238668961561,R_ILM_L2_B2,F7/D5,0.984010287948068,R_ILM_L2_B2,F7/D5,HighQual,R_ILM
R_ILM_L2_B2 F7/D6,0.982815734989648,R_ILM_L2_B2,F7/D6,0.979782726213684,R_ILM_L2_B2,F7/D6,HighQual,R_ILM
R_ILM_L2_B2 M8/D5,0.987958327695846,R_ILM_L2_B2,M8/D5,0.984886943280985,R_ILM_L2_B2,M8/D5,HighQual,R_ILM
R_ILM_L2_B2 M8/D6,0.985582057671769,R_ILM_L2_B2,M8/D6,0.985379463589117,R_ILM_L2_B2,M8/D6,HighQual,R_ILM
R_ILM_L2_B2 M8/F7,0.983639763166095,R_ILM_L2_B2,M8/F7,0.980976712606987,R_ILM_L2_B2,M8/F7,HighQual,R_ILM
R_ILM_L4_B1 D6/D5,0.818601583113456,R_ILM_L4_B1,D6/D5,0.960760288546192,R_ILM_L4_B1,D6/D5,LowQual,R_ILM
R_ILM_L4_B1 F7/D5,0.72547294324681,R_ILM_L4_B1,F7/D5,0.9447364591332,R_ILM_L4_B1,F7/D5,LowQual,R_ILM
R_ILM_L4_B1 F7/D6,0.722820350432763,R_ILM_L4_B1,F7/D6,0.949835809903167,R_ILM_L4_B1,F7/D6,LowQual,R_ILM
R_ILM_L4_B1 M8/D5,0.793460264900662,R_ILM_L4_B1,M8/D5,0.953998872115038,R_ILM_L4_B1,M8/D5,LowQual,R_ILM
R_ILM_L4_B1 M8/D6,0.840014511155451,R_ILM_L4_B1,M8/D6,0.956653077005046,R_ILM_L4_B1,M8/D6,LowQual,R_ILM
R_ILM_L4_B1 M8/F7,0.792725540025413,R_ILM_L4_B1,M8/F7,0.956276235311231,R_ILM_L4_B1,M8/F7,LowQual,R_ILM
R_ILM_L4_B2 D6/D5,0.983962416977159,R_ILM_L4_B2,D6/D5,0.986334077234859,R_ILM_L4_B2,D6/D5,HighQual,R_ILM
R_ILM_L4_B2 F7/D5,0.985650738986942,R_ILM_L4_B2,F7/D5,0.983976795717467,R_ILM_L4_B2,F7/D5,HighQual,R_ILM
R_ILM_L4_B2 F7/D6,0.976155919552146,R_ILM_L4_B2,F7/D6,0.983128968139821,R_ILM_L4_B2,F7/D6,HighQual,R_ILM
R_ILM_L4_B2 M8/D5,0.980894308943089,R_ILM_L4_B2,M8/D5,0.984405006456838,R_ILM_L4_B2,M8/D5,HighQual,R_ILM
R_ILM_L4_B2 M8/D6,0.981837606837607,R_ILM_L4_B2,M8/D6,0.984296751771917,R_ILM_L4_B2,M8/D6,HighQual,R_ILM
